T,FC,x1,x2,x3,Target
5,3,4.682464849,6.186966237,6.097175743,1
6,4,3.697656647,5.703887701,6.937192979,1
7,4,4.728894404,7.510151646,9.15681467,1
8,7,3.338187423,7.880129712,3.157070082,1
9,4,8.652641131,3.505919372,7.484834751,1
10,8,6.172833217,7.196517235,7.197128395,1
1,4,5.546955238,4.730173495,8.062154245,1
2,1,6.349812637,6.542370313,3.697965155,1
3,6,6.95457551,8.227892118,7.717844433,1
4,4,7.391096292,3.133391842,4.256677546,1
5,1,3.012224874,7.590966494,3.426903411,1
6,3,4.778071769,4.643675061,2.108768805,1
7,1,8.320964474,2.535962575,2.383925499,1
8,3,10.64380166,8.563321581,3.546121112,1
9,2,5.59407395,6.296893886,4.01664294,1
10,1,5.061690434,5.098613169,3.406076694,1
1,3,6.280567545,11.70105659,6.082805513,1
2,3,5.113669655,2.213178392,8.499846717,1
3,2,7.099439385,7.825122818,6.499657586,1
4,1,3.03192489,7.125985246,2.560164581,1
5,5,7.239653449,3.410151539,6.367011693,1
6,2,6.583585181,8.158362771,3.103328834,1
7,4,4.400084098,4.546115065,4.777232766,1
8,4,7.561237955,3.825923235,4.493893295,1
9,3,4.500015455,6.237983104,8.668032032,1
10,3,8.149503946,2.64723302,2.137221378,1
1,2,7.272547556,2.16301632,4.420876548,1
2,2,5.079643663,7.397978876,2.113665207,1
3,2,6.063217276,4.517262154,7.143392021,1
4,4,8.539399014,5.894011875,6.13666037,1
5,5,5.236027911,11.90834005,3.308172299,1
6,1,2.151056094,4.252399869,6.780808956,1
7,0,5.107009263,3.2459761,7.227019909,1
8,1,2.308921406,6.234386514,3.517135206,1
9,1,7.694049892,6.182763101,3.044696782,1
10,1,8.162466045,5.704978544,3.778743988,1
1,6,6.144908156,5.142602335,6.411027712,1
2,2,3.086057484,4.693987346,5.459351369,1
3,3,11.30840802,3.654360965,6.707534107,1
4,5,3.279073098,8.299733515,8.658369083,1
5,5,4.194634946,5.551594625,2.156161315,1
6,6,6.067979864,5.257557304,4.307830406,1
7,2,7.431693684,2.236473791,2.312866736,1
8,6,7.683116729,6.038800464,6.838672145,1
9,3,5.963147712,7.622942718,6.087731664,1
10,3,4.421686314,3.636660741,3.665743978,1
1,5,2.939072604,6.870106364,7.667650973,1
2,5,7.652925698,5.499315846,9.654946041,1
3,7,10.35968935,11.36997872,5.682250282,1
4,4,6.031980904,4.324254941,3.899631788,1
5,9,5.605048561,9.021519255,7.637082248,1
6,1,4.722713153,6.478730585,5.842512625,1
7,2,8.016263018,5.875598693,7.094285494,1
8,6,3.056465778,7.425289199,5.24908558,1
9,2,8.30850596,3.119621275,6.982042267,1
10,1,2.168206121,3.240579944,4.055076462,1
1,5,5.102976477,8.147579572,4.465180149,1
2,3,3.972827366,5.022838084,2.543659738,1
3,1,7.152778164,3.346422617,4.090745752,1
4,2,5.75227586,5.494255148,6.125697246,1
5,6,3.734182016,3.105495167,8.16946326,1
6,3,4.021041284,7.34019151,7.454681816,1
7,2,5.171210215,5.378754513,5.872548652,1
8,1,4.095663226,2.650136922,2.736156633,1
9,2,7.299976121,6.000087155,3.461782338,1
10,2,9.209943292,5.160393205,3.409830081,1
1,5,4.917147018,5.03057865,4.107348146,1
2,10,4.977087255,3.02609662,10.76870327,1
3,4,5.913649508,5.951190083,6.675309802,1
4,4,3.983429407,5.335404646,9.642446261,1
5,8,7.336591688,3.059980917,6.444108844,1
6,3,7.401214195,4.42466692,7.149960975,1
7,3,6.878820777,8.394419798,4.673431979,1
8,4,4.779743641,7.466554273,6.13750249,1
9,2,3.131976282,5.402701096,6.746397721,1
10,1,2.007641922,8.506707906,4.235894351,1
1,4,7.836423733,7.504978498,5.570448225,1
2,5,7.013972142,10.32844842,8.981182756,1
3,3,3.384151191,7.870217434,5.159369694,1
4,5,3.021452731,8.355832262,4.961298321,1
5,4,3.694824416,4.598461422,5.243478933,1
6,4,5.232783875,8.104931739,3.135272582,1
7,4,3.187486294,7.607832996,6.30694012,1
8,6,6.841169752,2.19801767,8.291014075,1
9,5,3.769295771,3.53387948,6.517911717,1
10,3,2.395590439,3.015020772,6.681781257,1
1,5,7.013454159,7.649315586,7.035667257,1
2,1,3.06500567,5.735878865,3.257956897,1
3,4,4.849239778,5.951385408,4.140581852,1
4,1,4.313873314,3.101383721,3.959817584,1
5,2,8.499244557,3.066154925,6.213757928,1
6,0,7.385068434,3.769854478,4.60451162,1
7,3,6.374368334,7.600880731,4.71231783,1
8,1,7.453657216,4.593983709,7.256821004,1
9,0,2.919162362,7.943536075,4.943233637,1
10,0,2.522919649,3.738050299,6.028358355,1
1,6,4.243561951,7.082944085,5.208497443,1
2,6,5.658892253,9.129786846,8.485965264,1
3,1,9.00351565,8.209136354,4.715000023,1
4,1,7.228907118,6.777091762,2.186843526,1
5,3,5.136595741,5.326856402,5.714082189,1
6,0,7.20239471,5.323000929,5.368162723,1
7,3,2.35773797,6.065665992,7.376527836,1
8,1,4.670345782,4.10174806,6.100116928,1
9,5,9.443793809,5.053060106,4.729300974,1
10,1,4.459719225,5.811695989,6.664387646,1
1,1,7.577131098,4.381378784,3.376509947,1
2,4,4.33017625,6.367995527,8.45076182,1
3,5,6.533678905,6.326436198,2.12875228,1
4,2,3.950431327,2.500241331,4.750932071,1
5,3,8.49865677,7.928584298,7.04321486,1
6,2,6.158185244,4.765533422,6.055133993,1
7,5,5.64822103,8.27419713,9.021395191,1
8,1,8.417110488,3.166403928,4.804320515,1
9,3,4.499840099,5.596237591,2.723408745,1
10,0,3.425087499,5.132780268,4.20920057,1
1,3,3.664697704,10.73804072,6.322872606,1
2,2,3.039552468,9.673748641,2.218118622,1
3,10,8.723822368,3.544334913,8.406623119,1
4,8,9.670432827,7.778472904,5.456907576,1
5,3,7.37156922,5.907284315,8.107027444,1
6,1,9.571070144,4.720734481,3.720594486,1
7,3,5.192560287,2.501076784,2.552386438,1
8,4,5.314864155,5.257950728,6.110476068,1
9,1,6.303433617,5.053886887,5.271649497,1
10,3,3.447069029,6.253196167,8.999451837,1
1,1,3.561274617,4.36542472,2.592729266,1
2,3,7.954123865,4.022713291,5.321352995,1
3,5,5.585640169,4.230844679,2.575707993,1
4,3,7.558884773,2.205846227,3.629288855,1
5,7,7.592821951,6.441315932,3.953812369,1
6,4,5.266377818,6.190029411,7.08337261,1
7,3,4.22094397,7.969728774,7.278810993,1
8,7,7.060483929,6.109729399,5.186351102,1
9,3,6.159685053,7.237433737,2.204757007,1
10,2,2.656967002,3.054856372,6.515318678,1
1,7,6.341141833,5.182071143,11.16233314,1
2,5,3.636380969,7.226024521,6.582843246,1
3,2,7.075822466,3.31498647,2.202181047,1
4,5,2.567650178,5.667334374,4.005387417,1
5,3,5.709900082,3.620688629,6.527816575,1
6,4,7.839033309,2.492005218,4.416730656,1
7,5,4.731165853,5.855489174,5.94150742,1
8,8,5.156874242,9.920347498,2.894422804,1
9,1,4.507394251,6.733651476,2.275664868,1
10,7,9.018159888,6.721991624,3.00911913,1
1,2,3.346565623,5.94380735,3.036546398,1
2,4,7.458883519,3.301821351,4.509110949,1
3,7,5.381063482,8.179658463,7.675474264,1
4,3,7.523166403,7.830169906,3.16521326,1
5,2,3.085370978,4.220477766,5.454789638,1
6,2,9.080722516,3.169750506,6.573047429,1
7,2,3.061248343,6.00681192,2.412214677,1
8,4,2.37679893,8.707661225,4.361443348,1
9,3,5.072332842,2.608251722,4.36603003,1
10,1,5.187008657,6.107621332,5.03773173,1
1,3,2.969911828,2.066264939,6.130851383,1
2,5,6.180835359,4.489817626,3.84274321,1
3,4,4.533553473,6.489588315,3.412460896,1
4,5,4.10159069,5.922319113,2.649119152,1
5,2,3.990941782,5.092581591,7.730136059,1
6,1,6.336515252,2.776016776,5.420298582,1
7,4,2.00314665,7.852805598,5.303309246,1
8,1,3.359662171,5.79730157,4.163916508,1
9,0,3.083453141,7.740515684,6.634956776,1
10,5,10.06140463,2.623987156,7.961840954,1
1,2,3.060288805,3.024744095,4.922709852,1
2,7,7.286979158,7.310709436,5.849050769,1
3,7,2.220000694,2.308282916,7.430445582,1
4,3,3.550486934,3.25865307,4.141366109,1
5,6,7.239321693,7.670611907,4.002783679,1
6,5,6.083816506,2.381999003,7.475187777,1
7,3,5.094907973,3.742988565,2.386774639,1
8,5,3.481540266,8.961396456,4.652387412,1
9,6,2.075469792,5.045578126,6.805106114,1
10,4,6.255086182,4.387453324,2.657312874,1
1,2,2.129111079,6.519363187,6.514613068,1
2,3,7.396235393,3.091534432,5.055768068,1
3,1,4.713754977,8.016900498,7.139136625,1
4,5,6.422564761,5.775853451,2.075448723,1
5,2,4.144425373,5.333306628,2.606552505,1
6,4,6.105339268,6.788743116,4.236477337,1
7,2,7.089536538,7.659002493,6.366112166,1
8,3,7.250254083,4.029957457,3.550043144,1
9,3,4.656226571,6.347004919,4.791338523,1
10,2,7.85399599,7.573351038,7.488259873,1
1,7,6.212807715,7.640763632,6.186492176,1
2,8,8.143562083,6.18030297,6.992631148,1
3,6,5.6193375,7.463183619,8.942393062,1
4,1,2.233345835,8.357671973,2.359131401,1
5,3,6.00689808,7.330968084,5.430258794,1
6,3,4.419780118,7.460641773,4.479035651,1
7,2,5.558807914,7.862587689,4.706899433,1
8,3,3.615595947,3.152013092,5.544537064,1
9,6,6.299859044,3.267996656,7.594777756,1
10,2,3.824299102,6.286880973,4.113314407,1
1,3,8.424981266,5.800587005,6.165944156,1
2,1,2.446583772,6.173884578,3.215744881,1
3,1,2.228684573,4.273247864,5.025461411,1
4,2,4.310093865,5.4045775,5.091790422,1
5,0,4.179432073,6.750342125,2.253166203,1
6,3,2.537968669,7.200238516,7.076213007,1
7,4,5.007196027,4.081785533,6.565424763,1
8,2,5.712008677,7.151575815,2.702552806,1
9,0,3.117579983,2.671777888,4.15875048,1
10,0,7.523631478,2.499248932,5.203246701,1
1,8,3.570343124,7.652950869,3.046874978,1
2,10,6.244601458,6.217169462,6.181223119,1
3,3,2.496355304,3.633846119,4.545634377,1
4,8,3.142178809,8.301151304,7.51308106,1
5,5,7.386775143,4.731456605,2.909812756,1
6,1,3.224588238,7.006505455,3.267928595,1
7,9,9.564557798,5.438207861,6.899812834,1
8,2,6.036077507,3.614132468,7.264584937,1
9,4,3.230467796,4.143644028,8.36598043,1
10,1,9.040825687,6.421534752,6.132272842,1
1,4,3.739285797,5.261305599,8.037013742,1
2,5,2.439423154,2.964999295,4.47374435,1
3,6,4.627189769,3.362019373,4.498468328,1
4,8,5.10038235,3.577119253,6.953858102,1
5,4,9.11363157,8.896097503,7.253222818,1
6,4,5.473193546,6.39466006,6.236621655,1
7,5,4.514685087,5.826368586,8.340429712,1
8,5,7.46443092,2.250706946,5.552775564,1
9,6,4.848349824,7.89461486,7.009800128,1
10,4,2.1325553,9.525122456,4.372418242,1
1,4,8.290383162,6.709660623,4.176947509,1
2,3,11.69016883,8.744934503,6.151326173,1
3,4,9.910448249,5.924945686,5.506512752,1
4,3,3.760626269,6.760808549,4.359280581,1
5,2,8.01033305,4.023109425,6.48571922,1
6,0,3.237172565,4.052188786,5.44715531,1
7,0,3.238397496,3.823702476,6.902344343,1
8,0,6.956562547,6.118986029,3.30440277,1
9,2,4.970595422,7.311708041,7.727054669,1
10,0,6.527337583,3.4297548,7.447276626,1
1,6,4.004535042,4.93765407,5.125325334,1
2,1,4.79722286,7.232295046,2.623315235,1
3,4,7.134888782,4.067548246,3.830962882,1
4,2,9.778744801,5.371691793,8.966124985,1
5,2,3.958962058,5.369209734,6.399669212,1
6,0,3.641642818,5.171320039,8.445817668,1
7,5,5.543310983,4.488173434,6.93319816,1
8,3,6.281961796,3.840462745,5.025488391,1
9,2,4.390309928,5.103574515,7.885742186,1
10,1,5.385771806,4.079879601,6.507885998,1
1,8,5.383860317,7.662547849,6.633116912,1
2,4,7.531254622,2.840900487,6.417146004,1
3,7,6.179199418,4.176692567,3.032681526,1
4,4,5.541171062,4.538380783,5.460455935,1
5,5,2.313687734,5.21772842,7.715239827,1
6,1,2.678633724,6.517889839,6.574936071,1
7,9,7.666565064,2.033464674,6.872022751,1
8,9,3.792130765,4.499612025,7.090618644,1
9,3,6.839336888,2.555234058,2.205623165,1
10,0,3.170905592,2.840067282,8.477143578,1
1,2,2.745243047,4.170620169,7.612970796,1
2,3,9.754877741,6.827034206,7.155762265,1
3,6,5.966397084,5.419360864,6.0102944,1
4,4,4.834234535,3.00113951,7.460090658,1
5,4,4.11430702,5.073086102,4.189620594,1
6,1,8.735981761,4.229192872,7.344985649,1
7,4,5.155610943,5.562366547,7.96272034,1
8,2,7.768715865,2.441464205,6.835403061,1
9,2,4.565247634,2.512877379,6.959706242,1
10,1,5.319728256,2.321783447,5.186201932,1
1,3,4.839763342,5.438839838,4.171795505,1
2,4,6.066156236,5.800539717,5.767062097,1
3,6,5.73463141,6.515820125,6.227658599,1
4,1,4.990091437,6.606225275,4.4280755,1
5,2,4.903528321,7.323920947,6.22278704,1
6,1,4.379678632,6.716746212,3.41287287,1
7,0,4.700815666,6.938200904,7.85047671,1
8,4,6.02063901,6.304428668,3.465946215,1
9,3,3.36521502,5.297697116,2.281020754,1
10,2,7.084606116,7.404832078,7.63685052,1
1,5,5.593225931,4.805737178,7.881018436,1
2,2,4.390273033,4.47000889,5.884861978,1
3,6,7.455227891,6.055285177,5.568803275,1
4,5,5.032200536,2.677912665,5.498896263,1
5,6,7.783809236,4.449845523,6.528509862,1
6,4,5.199483866,7.73711268,7.011077845,1
7,4,5.215983277,5.432549842,4.186237145,1
8,6,3.67331353,5.885067419,8.664264762,1
9,1,4.032641404,3.183433795,7.762354529,1
10,2,2.496557908,5.429380622,7.231742623,1
1,5,9.602119359,6.799146322,5.718196495,1
2,4,3.156699619,4.201628834,5.454865981,1
3,4,3.701309623,3.357822101,6.227990601,1
4,3,6.346970282,6.368633845,2.069893703,1
5,1,2.101039976,4.026708187,2.327947504,1
6,3,2.906869539,2.165290848,5.435064435,1
7,0,3.684753838,9.183952243,6.332700405,1
8,2,3.078641538,6.142953452,4.715072179,1
9,4,7.759921813,6.716069688,5.032582194,1
10,3,4.034103596,8.192257213,5.726964336,1
1,7,7.313574432,2.116166353,3.11993215,1
2,3,7.990042041,4.717411544,6.097360873,1
3,4,2.892973533,5.395482154,5.562465512,1
4,4,6.195514854,7.063964763,7.860555533,1
5,2,7.150071376,4.134119556,9.303979178,1
6,1,3.063172153,10.14604508,2.990421633,1
7,5,4.241653081,7.075549159,5.411747141,1
8,4,5.912503731,2.195034919,7.446561422,1
9,4,3.88875377,7.724325537,2.344629715,1
10,2,6.206498578,5.525270815,3.624527456,1
1,2,6.542220221,6.836774911,3.56387624,1
2,1,5.179297963,3.30797295,4.82821863,1
3,5,6.66187119,7.30798719,7.001994095,1
4,2,4.857626478,3.118441146,6.24586926,1
5,0,2.517393985,4.036693102,4.536266906,1
6,3,4.12234891,7.350059874,7.2007327,1
7,2,4.395955646,8.606598536,4.429441076,1
8,3,7.296749719,10.14346443,5.008959927,1
9,0,4.525125021,7.577045741,4.104233122,1
10,2,7.786801312,4.956738971,2.110819752,1
1,4,6.354211912,10.11409862,3.583542368,1
2,4,11.66400396,5.954279444,6.136967062,1
3,1,7.144802063,8.061503239,4.088981553,1
4,4,5.050709869,5.435251342,7.74882395,1
5,6,10.39165287,6.146899733,4.376742752,1
6,3,4.297068949,7.297889193,9.067082434,1
7,4,7.211289959,8.128212321,4.410084384,1
8,4,5.351564405,4.838782851,7.389270443,1
9,3,6.366889831,6.21230055,5.967464252,1
10,4,4.781423881,6.285311368,6.123054756,1
1,10,4.516219717,6.175608472,3.393612496,1
2,7,4.890074213,4.77609845,5.814179782,1
3,4,6.253249206,6.231199767,5.212927566,1
4,9,5.610033769,7.882772675,2.13806641,1
5,4,4.606749154,3.846485353,6.55850341,1
6,2,5.423195255,5.423066672,5.17615787,1
7,8,5.029556013,4.318951843,4.08329894,1
8,4,4.361667059,6.051545934,5.070812097,1
9,1,6.466466184,5.542830844,5.385262942,1
10,1,2.281005518,3.629490489,3.399151003,1
1,3,3.366027522,6.381319472,5.76330923,1
2,2,3.692461275,2.795017246,6.519594794,1
3,3,4.794797923,5.942266795,3.371256512,1
4,2,5.708446368,5.926670521,4.664876379,1
5,1,4.47267711,6.099796105,4.927424979,1
6,3,9.523630744,2.073127933,6.176061208,1
7,2,2.330340267,6.451738042,7.050148807,1
8,2,6.160434196,3.022590705,4.432782339,1
9,1,5.074009309,6.312894371,2.421263059,1
10,1,5.027415661,6.994120917,2.051276187,1
1,6,4.788661767,7.254916108,2.267001259,1
2,11,8.550863662,6.139734894,4.166128348,1
3,10,7.634687242,6.474595961,5.138903498,1
4,3,6.173074065,6.703286765,4.17788068,1
5,6,2.200803162,5.351702385,4.810676985,1
6,5,5.704676956,3.504882928,12.15741083,1
7,6,3.5781522,5.025445559,4.102597132,1
8,4,2.006838231,6.813040261,4.033962249,1
9,4,6.780271259,4.3479949,8.296188237,1
10,2,5.218234282,5.50966189,2.054831172,1
1,3,4.524812787,8.326757636,5.052503344,1
2,1,7.651014138,6.459388132,7.517424285,1
3,1,7.313895942,6.702641122,7.085581668,1
4,1,5.100078496,3.266523108,9.214723334,1
5,0,3.187894303,4.792954669,7.556140521,1
6,1,4.112367869,8.14544383,6.642629614,1
7,0,2.30050483,2.634564558,6.211288142,1
8,2,7.519455701,2.786560903,4.446852506,1
9,1,5.163610963,5.371558657,3.434998788,1
10,3,2.01719314,2.004601324,7.538236641,1
1,5,7.311002918,4.20043044,5.510177056,1
2,5,6.039002738,5.675956712,4.0027248,1
3,5,6.068992683,7.976829976,8.636458629,1
4,9,7.532733812,4.275560129,7.570610124,1
5,4,5.837116662,4.490041749,4.20988243,1
6,3,3.672070414,6.156773268,2.028395575,1
7,2,6.200200863,4.563827521,4.072445571,1
8,7,4.759007985,2.74662634,3.401303907,1
9,1,4.786449651,7.018226279,7.154790764,1
10,2,3.027218649,5.617817861,5.016464167,1
1,9,4.357275953,7.961915026,2.736615078,1
2,0,4.265974825,5.16578506,5.14726124,1
3,5,8.740110389,3.070559751,6.403398828,1
4,7,4.918552288,7.553336065,5.606686502,1
5,6,4.854672248,8.767533481,5.097870259,1
6,3,6.182625427,6.794032159,7.56520451,1
7,3,4.562476457,8.573016708,6.755297295,1
8,0,4.453618433,9.602698576,4.721515189,1
9,3,6.238510108,7.22638788,7.92536692,1
10,3,2.017671249,6.2635258,6.825649781,1
1,3,5.399144791,4.504411276,4.344428012,1
2,3,4.942076339,5.603226623,5.472614427,1
3,5,6.115630477,7.178449947,7.135735671,1
4,1,5.002978733,6.534059301,4.415996795,1
5,9,8.089532286,3.080627735,8.310847415,1
6,2,6.352741725,7.019723463,7.887442699,1
7,2,7.908915274,6.84837891,2.719692937,1
8,5,2.454370332,6.040710161,3.838769111,1
9,3,6.806421711,8.133122532,2.305104948,1
10,1,5.884315946,5.136150882,4.507289006,1
1,6,5.140935974,4.002766946,8.288131681,1
2,4,2.549069437,7.051035948,5.128378165,1
3,3,5.865399511,2.438654573,5.046546672,1
4,0,6.02549211,7.190214736,4.38488731,1
5,1,7.817492598,9.1947578,3.476692286,1
6,3,6.24751081,5.113980054,3.285526997,1
7,1,6.436566323,4.503307835,6.498258983,1
8,1,7.101000367,3.42666535,4.082120918,1
9,4,7.859049295,7.322912868,7.766460989,1
10,6,6.731201761,7.861522066,5.485430855,1
1,8,7.657658,6.681593327,4.67634513,1
2,5,2.83661389,4.460617531,6.512968772,1
3,5,3.883188993,5.303983259,2.40712022,1
4,6,6.269935556,3.167237311,6.349614193,1
5,7,3.452516134,3.06048983,4.007028175,1
6,6,10.26721597,5.925722105,7.459973921,1
7,4,4.096142565,3.628769152,5.048956174,1
8,4,12.56621394,7.817918304,3.722396846,1
9,1,3.867551984,2.380104007,4.581891518,1
10,1,3.385796096,5.195173736,5.129231291,1
1,9,3.101296592,4.719638603,9.358260679,1
2,7,6.138697882,6.874246225,5.036928526,1
3,7,7.716287332,7.304628669,7.661405523,1
4,5,3.73927831,6.026499087,7.875903342,1
5,3,3.622609475,7.975493393,5.60495342,1
6,1,5.620707453,5.144000775,4.079638828,1
7,3,9.112375504,7.34926782,4.95644742,1
8,3,5.064646628,6.797146631,7.136621175,1
9,1,7.627743848,6.029988809,4.012616728,1
10,7,6.741597126,10.37971245,3.072046708,1
1,9,8.394475976,6.516971465,7.841749777,1
2,3,3.514632813,4.828760401,7.206159248,1
3,11,7.364430224,5.31085654,2.176831271,1
4,6,3.237733956,3.617496272,4.3745009,1
5,9,4.098197814,5.094496278,5.760562319,1
6,5,6.837376499,7.31097527,7.192822866,1
7,5,5.780933059,3.486202987,3.382971551,1
8,3,5.906810817,6.295986395,4.739384324,1
9,4,5.820839652,6.444709313,3.41903916,1
10,4,6.376749366,3.282358816,6.260020175,1
1,2,5.174429446,7.91628566,3.360173515,1
2,4,2.357443878,4.060429017,6.246504548,1
3,4,3.55523043,5.141407553,2.386552328,1
4,3,5.2545217,7.245414541,4.09493702,1
5,0,5.398003388,5.682654553,3.362237619,1
6,0,4.51019308,3.881536849,3.767122135,1
7,0,4.325318695,6.457135199,5.333610434,1
8,1,5.010372048,3.135628113,3.06229545,1
9,1,5.398595528,4.44996129,6.469120124,1
10,1,7.004051797,7.752451352,5.104285696,1
1,1,2.534400342,7.659128455,4.051126529,1
2,5,4.966064395,2.416726178,6.357218909,1
3,6,2.200438331,2.40919243,9.537897786,1
4,9,4.108068445,2.1613136,6.778243812,1
5,4,6.335903516,3.055355772,6.0359458,1
6,6,6.264084334,5.451860411,7.757874479,1
7,3,7.148923395,5.939016996,6.200226059,1
8,4,2.720653689,7.27354511,6.695709266,1
9,6,5.285103442,6.084662955,3.207341583,1
10,1,5.241541276,5.102792998,3.062716855,1
1,1,8.190146889,3.180540665,4.234007266,1
2,1,3.113170566,4.320149526,7.153444379,1
3,3,7.501337756,5.61308566,7.024577884,1
4,2,6.732243568,5.411726295,2.807416406,1
5,1,3.798223372,6.191437226,6.743600891,1
6,3,5.881858214,6.482907415,4.836920239,1
7,4,6.171177067,8.126814357,7.767119795,1
8,0,3.100565695,4.968114128,6.432940167,1
9,2,3.333884865,5.910549441,4.531948583,1
10,1,3.239704966,6.31779919,5.204802867,1
1,3,3.060600781,4.600576646,6.415264285,1
2,2,3.50175461,7.569659038,6.495506169,1
3,5,2.156908675,6.749514327,5.182628882,1
4,2,7.078343455,5.579451349,4.574889282,1
5,2,4.518436421,4.257645387,6.21741157,1
6,0,5.211096864,3.697918632,6.482977824,1
7,0,2.422238262,7.33079208,2.846875402,1
8,1,6.001114458,8.008210361,5.010107199,1
9,0,3.882861389,3.446620553,5.669874774,1
10,3,2.955042406,8.094632214,2.250686336,1
1,5,9.209621787,7.084773891,6.658233012,1
2,3,6.70091628,4.773339803,5.175651375,1
3,3,6.720985372,5.921596603,4.511702379,1
4,8,10.30214285,8.034582247,8.720073846,1
5,3,8.679265848,5.160265393,3.163550234,1
6,2,3.795894881,4.15347553,6.228911106,1
7,1,2.170925455,6.947876436,7.036667929,1
8,2,4.477703771,6.170452669,5.112237695,1
9,3,4.014421972,6.986833424,7.066219103,1
10,2,7.802011552,6.564670423,4.47876648,1
1,3,5.159548181,7.224325364,7.497218393,1
2,4,11.9547278,5.038290455,4.382423971,1
3,6,7.107558563,5.175414066,3.740110912,1
4,0,5.903496572,5.105761214,4.097041851,1
5,2,6.511609494,8.477151233,8.496350092,1
6,2,5.228815893,5.2269251,7.914347488,1
7,2,5.058071639,3.094920798,4.006082314,1
8,0,6.450611251,4.117426775,3.28806101,1
9,3,9.38779311,3.443401724,5.717735965,1
10,0,3.400073475,6.220709846,2.250558842,1
1,1,6.29711121,2.346258004,8.002593274,1
2,3,8.367713729,7.724638473,3.851702689,1
3,3,4.124899846,5.032019511,5.161743625,1
4,6,8.281150442,5.634481472,6.809188989,1
5,2,3.213351256,7.04212426,4.038777126,1
6,4,6.897945312,4.645512613,3.404284687,1
7,1,6.957970466,5.170191758,6.906546928,1
8,1,6.05781899,7.170348699,7.24818151,1
9,3,7.177853863,4.09859465,6.438868421,1
10,4,6.426378646,4.508363998,5.050085235,1
1,22,7.429352166,12.68029547,6.946963801,1
2,10,4.105327964,5.151428264,3.516143113,1
3,8,7.809165024,7.836203128,4.604198553,1
4,5,8.313648751,4.711391554,5.155286469,1
5,2,2.685951784,4.293632457,3.287183794,1
6,5,3.090190515,6.165728859,4.570361468,1
7,2,5.210220743,3.616371948,3.148288372,1
8,2,4.815908526,5.83444021,5.107576556,1
9,2,5.694933358,6.577950158,4.284855335,1
10,3,2.475066753,3.025252018,2.142770057,1
1,4,2.122433221,4.749066971,3.108401389,1
